publication	study	subject	item	voicing	usable	vowel_dur	comment
Roettger_etal_2014	1	16	gob	voiced	usable	125.652278	focus on \ein\\; NO RELEASE\
Roettger_etal_2014	1	16	naug	voiced	usable	188.762411	focus on \ein\\\
Roettger_etal_2014	1	16	gried	voiced	usable	116.698791	focus on \ein\\\
Roettger_etal_2014	1	16	blot	voiceless	usable	141.44473	focus on \ein\\\
Roettger_etal_2014	1	16	gag	voiced	usable	195.51039	focus on \ein\\\
Roettger_etal_2014	1	16	schmaup	voiceless	usable	141.458045	focus on \ein\\\
Roettger_etal_2014	1	16	schuk	voiceless	usable	99.886649	focus on \ein\\\
Roettger_etal_2014	1	16	gaud	voiced	usable	199.464533	focus on \ein\\\
Roettger_etal_2014	1	16	mub	voiced	usable	118.232291	focus on \ein\\\
Roettger_etal_2014	1	16	quop	voiceless	usable	116.22619	focus on \ein\\\
Roettger_etal_2014	1	16	staug	voiced	usable	168.896244	focus on \ein\\\
Roettger_etal_2014	1	16	jiet	voiceless	usable	93.548799	
Roettger_etal_2014	1	16	rok	voiceless	usable	125.813924	
Roettger_etal_2014	1	16	prieg	voiced	usable	108.758164	focus on \ein\\\
Roettger_etal_2014	1	16	frub	voiced	usable	107.608323	focus on \ein\\; NO RELEASE\
Roettger_etal_2014	1	16	flap	voiceless	usable	139.624107	focus on \ein\\\
Roettger_etal_2014	1	16	pruk	voiceless	usable	108.56115	focus on \ein\\\
Roettger_etal_2014	1	16	quad	voiced	usable	139.614717	
Roettger_etal_2014	1	16	griet	voiceless	usable	109.967341	focus on \ein\\; [krit] like the other one\
Roettger_etal_2014	1	16	frog	voiced	usable	155.888639	
Roettger_etal_2014	1	16	schrieg	voiced	usable	131.43419	
Roettger_etal_2014	1	16	drud	voiced	usable	115.488258	
Roettger_etal_2014	1	16	wiep	voiceless	usable	123.097678	
Roettger_etal_2014	1	16	gak	voiceless	usable	161.528447	target deaccented? 
Roettger_etal_2014	1	16	schmaub	voiced	not_usable	129.749367	transition vocoid after burst
Roettger_etal_2014	1	16	frat	voiceless	usable	129.652877	
