subject,item,item_singular,voicing,item_pair,order,vowel,stop,place,utterancelength,accent_type,prosodic_boundary,norming_voiceless_count,norming_schwa_total,norming_schwa_pure,usable,item_vowel_dur,dur,comment
11,flape,flap,voiceless,13,58+0i,a,p,labial,1.36,prenuclear,no,0,5,5,usable,109.48,124.337986,NO RELEASE
11,roke,rok,voiceless,22,59+0i,o,k,velar,1.2,prenuclear,no,1,2,2,usable,155.85,108.168238,
11,quope,quop,voiceless,21,60+0i,o,p,labial,1.24,prenuclear,no,1,2,2,usable,146.96,100.422462,NO RELEASE
11,frube,frub,voiced,14,65+0i,u,b,labial,1.248,prenuclear,no,0,3,3,usable,126.51,83.235853,NO RELEASE
11,priege,prieg,voiced,18,68+0i,i,g,velar,1.2,prenuclear,no,0,5,5,usable,142.02,86.689929,
11,wiebe,wieb,voiced,12,75+0i,i,b,labial,1.296,prenuclear,no,0,4,4,usable,115.02,131.700098,
11,gobe,gob,voiced,6,76+0i,o,b,labial,1.232,prenuclear,no,1,3,3,usable,153.2,121.941065,NO RELEASE
11,froke,frok,voiceless,4,77+0i,o,k,velar,1.272,prenuclear,no,1,2,2,usable,131.4,96.396883,
11,schrieke,schriek,voiceless,11,78+0i,i,k,velar,1.304,prenuclear,no,1,3,3,usable,124.84,108.687378,
11,nauge,naug,voiced,9,79+0i,au,g,velar,1.272,prenuclear,no,0,4,4,usable,206.35,172.065858,
11,klape,klap,voiceless,8,81+0i,a,p,labial,1.304,prenuclear,no,1,2,2,usable,152.21,140.420104,NO RELEASE
11,drute,drut,voiceless,2,83+0i,u,t,alveolar,1.344,prenuclear,no,0,2,2,usable,111.7,127.631687,
11,griede,gried,voiced,7,87+0i,i,d,alveolar,1.256,prenuclear,no,0,5,5,usable,116.35,130.720963,
11,schmaupe,schmaup,voiceless,10,90+0i,au,p,labial,1.272,prenuclear,no,0,3,3,not_usable,155.18,149.999686,WRONG CONSONANT
11,blote,blot,voiceless,1,96+0i,o,t,alveolar,1.328,prenuclear,no,2,2,2,usable,153.82,154.267705,
11,gage,gag,voiced,5,97+0i,a,g,velar,1.32,prenuclear,no,1,4,4,usable,220.77,199.398241,
11,frade,frad,voiced,3,102+0i,a,d,alveolar,1.424,prenuclear,no,1,3,3,usable,198.19,163.255797,
11,stauke,stauk,voiceless,24,110+0i,au,k,velar,1.304,prenuclear,no,0,2,2,usable,160.21,157.02873,
11,quate,quat,voiceless,20,111+0i,a,t,alveolar,1.4,prenuclear,no,1,2,2,usable,164.52,179.827633,
11,schuge,schug,voiced,23,114+0i,u,g,velar,1.376,prenuclear,no,0,4,4,usable,153.12,113.090398,
11,prieke,priek,voiceless,18,115+0i,i,k,velar,1.344,prenuclear,no,1,3,3,usable,114.28,118.579747,
11,roge,rog,voiced,22,117+0i,o,g,velar,1.296,prenuclear,no,0,4,4,usable,167.1,136.614809,
11,gaute,gaut,voiceless,15,118+0i,au,t,alveolar,1.368,prenuclear,no,0,4,4,usable,164.88,198.777661,
11,pruge,prug,voiced,19,122+0i,u,g,velar,1.336,prenuclear,no,0,3,3,usable,140.88,112.036681,
